SurveyName,ProjectCode,DataPolicy,Date,Ship,Gear,Country,Originator,Collator,StNo,HaulNo,CoordRefSys,ShootLat,ShootLong,HaulLat,HaulLong,Depth,Distance,WingSpread,LTREF,PARAM,LTSZC,LTSRC,TYPPL,LTPRP,UnitWgt,LT_Weight,UnitItem,LT_Items,Shoot_timestamp,HaulDur
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G10,,,,,,,items/haul,26.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G124,,,,,,,items/haul,26.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G125,,,,,,,items/haul,34.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G127,,,,,,,items/haul,35.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G128,,,,,,,items/haul,32.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G132,,,,,,,items/haul,29.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G133,,,,,,,items/haul,30.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G134,,,,,,,items/haul,28.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G136,,,,,,,items/haul,28.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G137,,,,,,,items/haul,28.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G141,,,,,,,items/haul,28.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G142,,,,,,,items/haul,31.0,2016-11-24T04:15:00Z,30.0
ZZZ_UnknownCountry2_2016,12384.0,,2016-11-24,ZZ99,BOT,U2,600.0,600.0,U2_Unknown_5_B_2016-11-24,5.0,4326.0,40.0,20.0,40.0,20.0,42,2683.0,42,TSG-ML,G145,,,,,,,items/haul,35.0,2016-11-24T04:15:00Z,30.0
